[2026-04-15 23:02:36,997] numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2026-04-15 23:02:56,819] root - INFO - Entered the data ingestion method or component
[2026-04-15 23:02:56,853] root - INFO - Read the dataset as dataframe
[2026-04-15 23:02:56,871] root - INFO - Train test split initiated
[2026-04-15 23:02:56,903] root - INFO - Ingestion of the data is completed
[2026-04-15 23:02:56,968] root - INFO - Read train and test data completed
[2026-04-15 23:02:56,969] root - INFO - Obtaining preprocessing object
[2026-04-15 23:02:56,969] root - INFO - Data Transformation initiated
[2026-04-15 23:02:56,970] root - INFO - Numerical and Categorical pipeline created
[2026-04-15 23:02:56,982] root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[2026-04-15 23:02:57,052] root - INFO - Saved preprocessing object.
[2026-04-15 23:02:57,058] root - INFO - Splitting training and test input data
[2026-04-15 23:02:58,165] root - INFO - Best found model on both training and testing dataset is Random Forest with r2 score: 0.8481983716315085
